1,100,21735493
2,100,11039528
3,100,7678041
4,100,3494401
5,100,3986998
6,100,2893074
7,100,2494226
8,100,2614821
9,100,2547442
10,100,2637916
11,100,2259096
12,100,2122278
13,100,2140589
1,101,2521036
2,101,2297822
3,101,1997317
4,101,1942719
5,101,1824980
6,101,1736807
7,101,1760895
8,101,1808761
9,101,1738228
10,101,1751707
11,101,1797520
12,101,1864456
13,101,1812387
1,102,2100768
2,102,1991133
3,102,2087771
4,102,7700930
5,102,1654401
6,102,1782647
7,102,1679943
8,102,1676534
9,102,1569311
10,102,1651956
11,102,1651721
12,102,1727253
13,102,1826545
1,103,2007091
2,103,2097818
3,103,1798509
4,103,1571931
5,103,1577385
6,103,1545942
7,103,1502285
8,103,1520696
9,103,1505932
10,103,1563600
11,103,1523548
12,103,1630963
13,103,1626744
1,104,2022236
2,104,1923519
3,104,1737207
4,104,1619822
5,104,1542698
6,104,1468491
7,104,1523673
8,104,1421233
9,104,1391157
10,104,1451349
11,104,1437579
12,104,1442721
13,104,1478107
1,105,1864903
2,105,1795475
3,105,1532577
4,105,1471995
5,105,1407129
6,105,1390965
7,105,1369861
8,105,1420595
9,105,1439978
10,105,1407829
11,105,1434208
12,105,1488189
13,105,1477626
1,106,1851132
2,106,1795759
3,106,1553895
4,106,1476962
5,106,1397999
6,106,1394796
7,106,1357119
8,106,1361543
9,106,1396762
10,106,1374062
11,106,1441886
12,106,1423851
13,106,1394766
1,107,1835927
2,107,1788499
3,107,1767846
4,107,2061855
5,107,2086885
6,107,2002632
7,107,1478768
8,107,1495528
9,107,1476409
10,107,1451940
11,107,1510479
12,107,1586358
13,107,1644093
1,108,2007091
2,108,1813134
3,108,1622370
4,108,1473668
5,108,1364579
6,108,1390391
7,108,1386392
8,108,1410003
9,108,1408244
10,108,1399313
11,108,1366340
12,108,1383020
13,108,1282518
1,109,1395637
2,109,1316058
3,109,1243373
4,109,1304419
5,109,1210354
6,109,1189635
7,109,1182276
8,109,1221168
9,109,1157849
10,109,1167189
11,109,1197642
12,109,1184036
13,109,1191360
1,110,1353424
2,110,1353268
3,110,1183258
4,110,1195037
5,110,1081874
6,110,1016146
7,110,1055926
8,110,1093065
9,110,1021403
10,110,1021982
11,110,1066310
12,110,1069271
13,110,1108351
1,111,1238441
2,111,1190358
3,111,1106733
4,111,1054962
5,111,2863670
6,111,842579
7,111,825830
8,111,797439
9,111,850711
10,111,962242
11,111,959193
12,111,976922
13,111,1002311
1,112,1815049
2,112,1687783
3,112,1014059
4,112,1001664
5,112,981809
6,112,965506
7,112,947872
8,112,928668
9,112,886439
10,112,986311
11,112,1000104
12,112,1001518
13,112,990878
1,113,1151128
2,113,1104795
3,113,1032785
4,113,1212161
5,113,966745
6,113,1056835
7,113,1008674
8,113,1033584
9,113,974550
10,113,992510
11,113,941689
12,113,936829
13,113,960499
1,114,1138157
2,114,1154590
3,114,1041209
4,114,964290
5,114,974900
6,114,1025198
7,114,947197
8,114,1067147
9,114,935749
10,114,914581
11,114,953656
12,114,939031
13,114,963503
1,115,1141042
2,115,1091724
3,115,916195
4,115,839626
5,115,838575
6,115,825857
7,115,833495
8,115,3596908
9,115,615089
10,115,622903
11,115,584053
12,115,870225
13,115,630658
1,116,1143057
2,116,1042751
3,116,967609
4,116,933636
5,116,917390
